"ITTER107","Territory","TIPO_DATO_CVSTRA","Data type","SEXISTAT1","Gender","PRES_LUOGO","Presence in Italy","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN1_50","arrived in Italy aged 6-12","2012","2012",100,,
"IT","Italy","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN1_25","arrived in Italy aged 13-17","2012","2012",100,,
"IT","Italy","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN1","arrived in Italy aged over 18","2012","2012",100,,
"IT","Italy","NFOR_PERCS","foreign citizens by sex (percent)","9","total","ALL","all items","2012","2012",100,,
"ITC","Nord-ovest","NFOR","foreign citizens","1","males","GEN2","born in Italy","2012","2012",120924,,
"ITC","Nord-ovest","NFOR","foreign citizens","1","males","GEN1_75","arrived in Italy aged 0-5","2012","2012",49238,,
"ITC","Nord-ovest","NFOR","foreign citizens","1","males","GEN1_50","arrived in Italy aged 6-12","2012","2012",43138,,
"ITC","Nord-ovest","NFOR","foreign citizens","1","males","GEN1_25","arrived in Italy aged 13-17","2012","2012",55638,,
"ITC","Nord-ovest","NFOR","foreign citizens","1","males","GEN1","arrived in Italy aged over 18","2012","2012",411499,,
"ITC","Nord-ovest","NFOR","foreign citizens","1","males","ALL","all items","2012","2012",680438,,
"ITC","Nord-ovest","NFOR","foreign citizens","2","females","GEN2","born in Italy","2012","2012",109919,,
"ITC","Nord-ovest","NFOR","foreign citizens","2","females","GEN1_75","arrived in Italy aged 0-5","2012","2012",40118,,
"ITC","Nord-ovest","NFOR","foreign citizens","2","females","GEN1_50","arrived in Italy aged 6-12","2012","2012",37247,,
"ITC","Nord-ovest","NFOR","foreign citizens","2","females","GEN1_25","arrived in Italy aged 13-17","2012","2012",43229,,
"ITC","Nord-ovest","NFOR","foreign citizens","2","females","GEN1","arrived in Italy aged over 18","2012","2012",517024,,
"ITC","Nord-ovest","NFOR","foreign citizens","2","females","ALL","all items","2012","2012",747536,,
"ITC","Nord-ovest","NFOR","foreign citizens","9","total","GEN2","born in Italy","2012","2012",230843,,
"ITC","Nord-ovest","NFOR","foreign citizens","9","total","GEN1_75","arrived in Italy aged 0-5","2012","2012",89355,,
"ITC","Nord-ovest","NFOR","foreign citizens","9","total","GEN1_50","arrived in Italy aged 6-12","2012","2012",80385,,
"ITC","Nord-ovest","NFOR","foreign citizens","9","total","GEN1_25","arrived in Italy aged 13-17","2012","2012",98867,,
"ITC","Nord-ovest","NFOR","foreign citizens","9","total","GEN1","arrived in Italy aged over 18","2012","2012",928523,,
"ITC","Nord-ovest","NFOR","foreign citizens","9","total","ALL","all items","2012","2012",1427974,,
"ITC","Nord-ovest","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN2","born in Italy","2012","2012",52.4,,
"ITC","Nord-ovest","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN1_75","arrived in Italy aged 0-5","2012","2012",55.1,,
"ITC","Nord-ovest","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN1_50","arrived in Italy aged 6-12","2012","2012",53.7,,
"ITC","Nord-ovest","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN1_25","arrived in Italy aged 13-17","2012","2012",56.3,,
"ITC","Nord-ovest","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN1","arrived in Italy aged over 18","2012","2012",44.3,,
"ITC","Nord-ovest","NFOR_PERCS","foreign citizens by sex (percent)","1","males","ALL","all items","2012","2012",47.7,,
"ITC","Nord-ovest","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN2","born in Italy","2012","2012",47.6,,
"ITC","Nord-ovest","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN1_75","arrived in Italy aged 0-5","2012","2012",44.9,,
"ITC","Nord-ovest","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN1_50","arrived in Italy aged 6-12","2012","2012",46.3,,
"ITC","Nord-ovest","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN1_25","arrived in Italy aged 13-17","2012","2012",43.7,,
"ITC","Nord-ovest","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN1","arrived in Italy aged over 18","2012","2012",55.7,,
"ITC","Nord-ovest","NFOR_PERCS","foreign citizens by sex (percent)","2","females","ALL","all items","2012","2012",52.3,,
"ITC","Nord-ovest","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN2","born in Italy","2012","2012",100,,
"ITC","Nord-ovest","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN1_75","arrived in Italy aged 0-5","2012","2012",100,,
"ITC","Nord-ovest","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN1_50","arrived in Italy aged 6-12","2012","2012",100,,
"ITC","Nord-ovest","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN1_25","arrived in Italy aged 13-17","2012","2012",100,,
"ITC","Nord-ovest","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN1","arrived in Italy aged over 18","2012","2012",100,,
"ITC","Nord-ovest","NFOR_PERCS","foreign citizens by sex (percent)","9","total","ALL","all items","2012","2012",100,,
"ITD","Nord-est","NFOR","foreign citizens","1","males","GEN2","born in Italy","2012","2012",93262,,
"ITD","Nord-est","NFOR","foreign citizens","1","males","GEN1_75","arrived in Italy aged 0-5","2012","2012",30298,,
"ITD","Nord-est","NFOR","foreign citizens","1","males","GEN1_50","arrived in Italy aged 6-12","2012","2012",35676,,
"ITD","Nord-est","NFOR","foreign citizens","1","males","GEN1_25","arrived in Italy aged 13-17","2012","2012",44520,,
"ITD","Nord-est","NFOR","foreign citizens","1","males","GEN1","arrived in Italy aged over 18","2012","2012",312573,,
"ITD","Nord-est","NFOR","foreign citizens","1","males","ALL","all items","2012","2012",516331,,
"ITD","Nord-est","NFOR","foreign citizens","2","females","GEN2","born in Italy","2012","2012",81830,,
"ITD","Nord-est","NFOR","foreign citizens","2","females","GEN1_75","arrived in Italy aged 0-5","2012","2012",30182,,
"ITD","Nord-est","NFOR","foreign citizens","2","females","GEN1_50","arrived in Italy aged 6-12","2012","2012",34503,,
"ITD","Nord-est","NFOR","foreign citizens","2","females","GEN1_25","arrived in Italy aged 13-17","2012","2012",30879,,
"ITD","Nord-est","NFOR","foreign citizens","2","females","GEN1","arrived in Italy aged over 18","2012","2012",396135,,
"ITD","Nord-est","NFOR","foreign citizens","2","females","ALL","all items","2012","2012",573529,,
"ITD","Nord-est","NFOR","foreign citizens","9","total","GEN2","born in Italy","2012","2012",175092,,
"ITD","Nord-est","NFOR","foreign citizens","9","total","GEN1_75","arrived in Italy aged 0-5","2012","2012",60481,,
"ITD","Nord-est","NFOR","foreign citizens","9","total","GEN1_50","arrived in Italy aged 6-12","2012","2012",70179,,
"ITD","Nord-est","NFOR","foreign citizens","9","total","GEN1_25","arrived in Italy aged 13-17","2012","2012",75400,,
"ITD","Nord-est","NFOR","foreign citizens","9","total","GEN1","arrived in Italy aged over 18","2012","2012",708709,,
"ITD","Nord-est","NFOR","foreign citizens","9","total","ALL","all items","2012","2012",1089860,,
"ITD","Nord-est","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN2","born in Italy","2012","2012",53.3,,
"ITD","Nord-est","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN1_75","arrived in Italy aged 0-5","2012","2012",50.1,,
"ITD","Nord-est","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN1_50","arrived in Italy aged 6-12","2012","2012",50.8,,
"ITD","Nord-est","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN1_25","arrived in Italy aged 13-17","2012","2012",59,,
"ITD","Nord-est","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN1","arrived in Italy aged over 18","2012","2012",44.1,,
"ITD","Nord-est","NFOR_PERCS","foreign citizens by sex (percent)","1","males","ALL","all items","2012","2012",47.4,,
"ITD","Nord-est","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN2","born in Italy","2012","2012",46.7,,
"ITD","Nord-est","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN1_75","arrived in Italy aged 0-5","2012","2012",49.9,,
"ITD","Nord-est","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN1_50","arrived in Italy aged 6-12","2012","2012",49.2,,
"ITD","Nord-est","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN1_25","arrived in Italy aged 13-17","2012","2012",41,,
"ITD","Nord-est","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN1","arrived in Italy aged over 18","2012","2012",55.9,,
"ITD","Nord-est","NFOR_PERCS","foreign citizens by sex (percent)","2","females","ALL","all items","2012","2012",52.6,,
"ITD","Nord-est","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN2","born in Italy","2012","2012",100,,
"ITD","Nord-est","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN1_75","arrived in Italy aged 0-5","2012","2012",100,,
"ITD","Nord-est","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN1_50","arrived in Italy aged 6-12","2012","2012",100,,
"ITD","Nord-est","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN1_25","arrived in Italy aged 13-17","2012","2012",100,,
"ITD","Nord-est","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN1","arrived in Italy aged over 18","2012","2012",100,,
"ITD","Nord-est","NFOR_PERCS","foreign citizens by sex (percent)","9","total","ALL","all items","2012","2012",100,,
"ITE","Centro (I)","NFOR","foreign citizens","1","males","GEN2","born in Italy","2012","2012",63658,,
"ITE","Centro (I)","NFOR","foreign citizens","1","males","GEN1_75","arrived in Italy aged 0-5","2012","2012",28532,,
"ITE","Centro (I)","NFOR","foreign citizens","1","males","GEN1_50","arrived in Italy aged 6-12","2012","2012",32072,,
"ITE","Centro (I)","NFOR","foreign citizens","1","males","GEN1_25","arrived in Italy aged 13-17","2012","2012",36243,,
"ITE","Centro (I)","NFOR","foreign citizens","1","males","GEN1","arrived in Italy aged over 18","2012","2012",284263,,
"ITE","Centro (I)","NFOR","foreign citizens","1","males","ALL","all items","2012","2012",444768,,
"ITE","Centro (I)","NFOR","foreign citizens","2","females","GEN2","born in Italy","2012","2012",61732,,
"ITE","Centro (I)","NFOR","foreign citizens","2","females","GEN1_75","arrived in Italy aged 0-5","2012","2012",24448,,
"ITE","Centro (I)","NFOR","foreign citizens","2","females","GEN1_50","arrived in Italy aged 6-12","2012","2012",26777,,
"ITE","Centro (I)","NFOR","foreign citizens","2","females","GEN1_25","arrived in Italy aged 13-17","2012","2012",25682,,
"ITE","Centro (I)","NFOR","foreign citizens","2","females","GEN1","arrived in Italy aged over 18","2012","2012",386679,,
"ITE","Centro (I)","NFOR","foreign citizens","2","females","ALL","all items","2012","2012",525317,,
"ITE","Centro (I)","NFOR","foreign citizens","9","total","GEN2","born in Italy","2012","2012",125390,,
"ITE","Centro (I)","NFOR","foreign citizens","9","total","GEN1_75","arrived in Italy aged 0-5","2012","2012",52980,,
"ITE","Centro (I)","NFOR","foreign citizens","9","total","GEN1_50","arrived in Italy aged 6-12","2012","2012",58849,,
"ITE","Centro (I)","NFOR","foreign citizens","9","total","GEN1_25","arrived in Italy aged 13-17","2012","2012",61925,,
"ITE","Centro (I)","NFOR","foreign citizens","9","total","GEN1","arrived in Italy aged over 18","2012","2012",670942,,
"ITE","Centro (I)","NFOR","foreign citizens","9","total","ALL","all items","2012","2012",970085,,
"ITE","Centro (I)","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN2","born in Italy","2012","2012",50.8,,
"ITE","Centro (I)","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN1_75","arrived in Italy aged 0-5","2012","2012",53.9,,
"ITE","Centro (I)","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN1_50","arrived in Italy aged 6-12","2012","2012",54.5,,
"ITE","Centro (I)","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN1_25","arrived in Italy aged 13-17","2012","2012",58.5,,
"ITE","Centro (I)","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN1","arrived in Italy aged over 18","2012","2012",42.4,,
"ITE","Centro (I)","NFOR_PERCS","foreign citizens by sex (percent)","1","males","ALL","all items","2012","2012",45.8,,
"ITE","Centro (I)","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN2","born in Italy","2012","2012",49.2,,
"ITE","Centro (I)","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN1_75","arrived in Italy aged 0-5","2012","2012",46.1,,
"ITE","Centro (I)","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN1_50","arrived in Italy aged 6-12","2012","2012",45.5,,
"ITE","Centro (I)","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN1_25","arrived in Italy aged 13-17","2012","2012",41.5,,
"ITE","Centro (I)","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN1","arrived in Italy aged over 18","2012","2012",57.6,,
"ITE","Centro (I)","NFOR_PERCS","foreign citizens by sex (percent)","2","females","ALL","all items","2012","2012",54.2,,
"ITE","Centro (I)","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN2","born in Italy","2012","2012",100,,
"ITE","Centro (I)","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN1_75","arrived in Italy aged 0-5","2012","2012",100,,
"ITE","Centro (I)","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN1_50","arrived in Italy aged 6-12","2012","2012",100,,
"ITE","Centro (I)","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN1_25","arrived in Italy aged 13-17","2012","2012",100,,
"ITE","Centro (I)","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN1","arrived in Italy aged over 18","2012","2012",100,,
"ITE","Centro (I)","NFOR_PERCS","foreign citizens by sex (percent)","9","total","ALL","all items","2012","2012",100,,
"ITFG","Mezzogiorno","NFOR","foreign citizens","1","males","GEN2","born in Italy","2012","2012",27364,,
"ITFG","Mezzogiorno","NFOR","foreign citizens","1","males","GEN1_75","arrived in Italy aged 0-5","2012","2012",14522,,
"ITFG","Mezzogiorno","NFOR","foreign citizens","1","males","GEN1_50","arrived in Italy aged 6-12","2012","2012",18141,,
"ITFG","Mezzogiorno","NFOR","foreign citizens","1","males","GEN1_25","arrived in Italy aged 13-17","2012","2012",18428,,
"ITFG","Mezzogiorno","NFOR","foreign citizens","1","males","GEN1","arrived in Italy aged over 18","2012","2012",164421,,
"ITFG","Mezzogiorno","NFOR","foreign citizens","1","males","ALL","all items","2012","2012",242877,,
"ITFG","Mezzogiorno","NFOR","foreign citizens","2","females","GEN2","born in Italy","2012","2012",24178,,
"ITFG","Mezzogiorno","NFOR","foreign citizens","2","females","GEN1_75","arrived in Italy aged 0-5","2012","2012",18011,,
"ITFG","Mezzogiorno","NFOR","foreign citizens","2","females","GEN1_50","arrived in Italy aged 6-12","2012","2012",15983,,
"ITFG","Mezzogiorno","NFOR","foreign citizens","2","females","GEN1_25","arrived in Italy aged 13-17","2012","2012",14135,,
"ITFG","Mezzogiorno","NFOR","foreign citizens","2","females","GEN1","arrived in Italy aged over 18","2012","2012",233612,,
"ITFG","Mezzogiorno","NFOR","foreign citizens","2","females","ALL","all items","2012","2012",305919,,
"ITFG","Mezzogiorno","NFOR","foreign citizens","9","total","GEN2","born in Italy","2012","2012",51542,,
"ITFG","Mezzogiorno","NFOR","foreign citizens","9","total","GEN1_75","arrived in Italy aged 0-5","2012","2012",32533,,
"ITFG","Mezzogiorno","NFOR","foreign citizens","9","total","GEN1_50","arrived in Italy aged 6-12","2012","2012",34125,,
"ITFG","Mezzogiorno","NFOR","foreign citizens","9","total","GEN1_25","arrived in Italy aged 13-17","2012","2012",32563,,
"ITFG","Mezzogiorno","NFOR","foreign citizens","9","total","GEN1","arrived in Italy aged over 18","2012","2012",398033,,
"ITFG","Mezzogiorno","NFOR","foreign citizens","9","total","ALL","all items","2012","2012",548796,,
"ITFG","Mezzogiorno","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN2","born in Italy","2012","2012",53.1,,
"ITFG","Mezzogiorno","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN1_75","arrived in Italy aged 0-5","2012","2012",44.6,,
"ITFG","Mezzogiorno","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN1_50","arrived in Italy aged 6-12","2012","2012",53.2,,
"ITFG","Mezzogiorno","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN1_25","arrived in Italy aged 13-17","2012","2012",56.6,,
"ITFG","Mezzogiorno","NFOR_PERCS","foreign citizens by sex (percent)","1","males","GEN1","arrived in Italy aged over 18","2012","2012",41.3,,
"ITFG","Mezzogiorno","NFOR_PERCS","foreign citizens by sex (percent)","1","males","ALL","all items","2012","2012",44.3,,
"ITFG","Mezzogiorno","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN2","born in Italy","2012","2012",46.9,,
"ITFG","Mezzogiorno","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN1_75","arrived in Italy aged 0-5","2012","2012",55.4,,
"ITFG","Mezzogiorno","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN1_50","arrived in Italy aged 6-12","2012","2012",46.8,,
"ITFG","Mezzogiorno","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN1_25","arrived in Italy aged 13-17","2012","2012",43.4,,
"ITFG","Mezzogiorno","NFOR_PERCS","foreign citizens by sex (percent)","2","females","GEN1","arrived in Italy aged over 18","2012","2012",58.7,,
"ITFG","Mezzogiorno","NFOR_PERCS","foreign citizens by sex (percent)","2","females","ALL","all items","2012","2012",55.7,,
"ITFG","Mezzogiorno","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN2","born in Italy","2012","2012",100,,
"ITFG","Mezzogiorno","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN1_75","arrived in Italy aged 0-5","2012","2012",100,,
"ITFG","Mezzogiorno","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN1_50","arrived in Italy aged 6-12","2012","2012",100,,
"ITFG","Mezzogiorno","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN1_25","arrived in Italy aged 13-17","2012","2012",100,,
"ITFG","Mezzogiorno","NFOR_PERCS","foreign citizens by sex (percent)","9","total","GEN1","arrived in Italy aged over 18","2012","2012",100,,
"ITFG","Mezzogiorno","NFOR_PERCS","foreign citizens by sex (percent)","9","total","ALL","all items","2012","2012",100,,
