"ITTER107","Territory","TIPO_DATO_CVSTRA","Data type","ETA1","Age","ISO","Citizenship","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","NFOR","foreign citizens","TOTAL","total","EU27","European Union (27 countries)","2012","2012",1174755,,
"IT","Italy","NFOR","foreign citizens","TOTAL","total","EXT_EU27","Extra EU-27","2012","2012",2861960,,
"IT","Italy","NFOR","foreign citizens","TOTAL","total","MA","Morocco","2012","2012",400632,,
"IT","Italy","NFOR","foreign citizens","TOTAL","total","RO","Romania","2012","2012",854945,,
"IT","Italy","NFOR","foreign citizens","TOTAL","total","WRL_X_ITA","Foreign countries","2012","2012",4036715,,
"IT","Italy","NFOR","foreign citizens","Y_GE55","55 years and over","AL","Albania","2012","2012",30501,,
"IT","Italy","NFOR","foreign citizens","Y_GE55","55 years and over","EU27","European Union (27 countries)","2012","2012",90128,,
"IT","Italy","NFOR","foreign citizens","Y_GE55","55 years and over","EXT_EU27","Extra EU-27","2012","2012",218562,,
"IT","Italy","NFOR","foreign citizens","Y_GE55","55 years and over","MA","Morocco","2012","2012",24074,,
"IT","Italy","NFOR","foreign citizens","Y_GE55","55 years and over","RO","Romania","2012","2012",33520,,
"IT","Italy","NFOR","foreign citizens","Y_GE55","55 years and over","WRL_X_ITA","Foreign countries","2012","2012",308690,,
"IT","Italy","NFOR","foreign citizens","Y0-13","0-13 years","AL","Albania","2012","2012",93328,,
"IT","Italy","NFOR","foreign citizens","Y0-13","0-13 years","EU27","European Union (27 countries)","2012","2012",162962,,
"IT","Italy","NFOR","foreign citizens","Y0-13","0-13 years","EXT_EU27","Extra EU-27","2012","2012",619982,,
"IT","Italy","NFOR","foreign citizens","Y0-13","0-13 years","MA","Morocco","2012","2012",112633,,
"IT","Italy","NFOR","foreign citizens","Y0-13","0-13 years","RO","Romania","2012","2012",133736,,
"IT","Italy","NFOR","foreign citizens","Y0-13","0-13 years","WRL_X_ITA","Foreign countries","2012","2012",782944,,
"IT","Italy","NFOR","foreign citizens","Y14-17","14-17 years","AL","Albania","2012","2012",22040,,
"IT","Italy","NFOR","foreign citizens","Y14-17","14-17 years","EU27","European Union (27 countries)","2012","2012",36701,,
"IT","Italy","NFOR","foreign citizens","Y14-17","14-17 years","EXT_EU27","Extra EU-27","2012","2012",124433,,
"IT","Italy","NFOR","foreign citizens","Y14-17","14-17 years","MA","Morocco","2012","2012",14168,,
"IT","Italy","NFOR","foreign citizens","Y14-17","14-17 years","RO","Romania","2012","2012",31909,,
"IT","Italy","NFOR","foreign citizens","Y14-17","14-17 years","WRL_X_ITA","Foreign countries","2012","2012",161134,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y18-24","18-24 years","AL","Albania","2012","2012",12.7,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y18-24","18-24 years","EU27","European Union (27 countries)","2012","2012",9.5,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y18-24","18-24 years","EXT_EU27","Extra EU-27","2012","2012",9.7,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y18-24","18-24 years","MA","Morocco","2012","2012",8,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y18-24","18-24 years","RO","Romania","2012","2012",11.4,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y18-24","18-24 years","WRL_X_ITA","Foreign countries","2012","2012",9.6,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y25-34","25-34 years","AL","Albania","2012","2012",25,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y25-34","25-34 years","EU27","European Union (27 countries)","2012","2012",26.4,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y25-34","25-34 years","EXT_EU27","Extra EU-27","2012","2012",21.9,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y25-34","25-34 years","MA","Morocco","2012","2012",20.7,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y25-34","25-34 years","RO","Romania","2012","2012",27.9,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y25-34","25-34 years","WRL_X_ITA","Foreign countries","2012","2012",23.2,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y35-44","35-44 years","AL","Albania","2012","2012",17.2,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y35-44","35-44 years","EU27","European Union (27 countries)","2012","2012",26.1,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y35-44","35-44 years","EXT_EU27","Extra EU-27","2012","2012",21.2,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y35-44","35-44 years","MA","Morocco","2012","2012",21.6,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y35-44","35-44 years","RO","Romania","2012","2012",25.8,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y35-44","35-44 years","WRL_X_ITA","Foreign countries","2012","2012",22.7,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y45-54","45-54 years","AL","Albania","2012","2012",10.8,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y45-54","45-54 years","EU27","European Union (27 countries)","2012","2012",13.3,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y45-54","45-54 years","EXT_EU27","Extra EU-27","2012","2012",13.6,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y45-54","45-54 years","MA","Morocco","2012","2012",12.1,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y45-54","45-54 years","RO","Romania","2012","2012",11.5,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y45-54","45-54 years","WRL_X_ITA","Foreign countries","2012","2012",13.5,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","TOTAL","total","AL","Albania","2012","2012",100,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","TOTAL","total","EU27","European Union (27 countries)","2012","2012",100,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","TOTAL","total","EXT_EU27","Extra EU-27","2012","2012",100,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","TOTAL","total","MA","Morocco","2012","2012",100,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","TOTAL","total","RO","Romania","2012","2012",100,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","TOTAL","total","WRL_X_ITA","Foreign countries","2012","2012",100,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y_GE55","55 years and over","AL","Albania","2012","2012",7.2,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y_GE55","55 years and over","EU27","European Union (27 countries)","2012","2012",7.7,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y_GE55","55 years and over","EXT_EU27","Extra EU-27","2012","2012",7.6,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y_GE55","55 years and over","MA","Morocco","2012","2012",6,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y_GE55","55 years and over","RO","Romania","2012","2012",3.9,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y_GE55","55 years and over","WRL_X_ITA","Foreign countries","2012","2012",7.6,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y0-13","0-13 years","AL","Albania","2012","2012",22,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y0-13","0-13 years","EU27","European Union (27 countries)","2012","2012",13.9,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y0-13","0-13 years","EXT_EU27","Extra EU-27","2012","2012",21.7,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y0-13","0-13 years","MA","Morocco","2012","2012",28.1,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y0-13","0-13 years","RO","Romania","2012","2012",15.6,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y0-13","0-13 years","WRL_X_ITA","Foreign countries","2012","2012",19.4,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y14-17","14-17 years","AL","Albania","2012","2012",5.2,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y14-17","14-17 years","EU27","European Union (27 countries)","2012","2012",3.1,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y14-17","14-17 years","EXT_EU27","Extra EU-27","2012","2012",4.3,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y14-17","14-17 years","MA","Morocco","2012","2012",3.5,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y14-17","14-17 years","RO","Romania","2012","2012",3.7,,
"IT","Italy","NFOR_PERCE","foreign citizens by age (percent)","Y14-17","14-17 years","WRL_X_ITA","Foreign countries","2012","2012",4,,
