"ITTER107"|"Territory"|"TIPO_DATO_CVSTRA"|"Data type"|"SEXISTAT1"|"Gender"|"ETA1"|"Age"|"ISO"|"Citizenship"|"COPPIA"|"Couple"|"TIP_FAM"|"Type of household"|"PRES_LUOGO"|"Presence in Italy"|"TITOLO_STUDIO"|"Level of education"|"CONDIZIONE_DICH4"|"Labour status"|"LINGUA"|"Language"|"SODDISFAZIONE"|"Satisfaction with life and work"|"DISCRIMINATION"|"Discrimination"|"TIME"|"Select time"|"Value"|"Flag Codes"|"Flags"
"IT"|"Italy"|"NFOR"|"foreign citizens"|"1"|"males"|"TOTAL"|"total"|"TN"|"Tunisia"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|59787||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"1"|"males"|"TOTAL"|"total"|"UA"|"Ukraine"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|30252||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"1"|"males"|"TOTAL"|"total"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"NFHH"|"non-family households"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|381409||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"1"|"males"|"TOTAL"|"total"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"GEN2"|"born in Italy"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|305209||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"1"|"males"|"TOTAL"|"total"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"GEN1_75"|"arrived in Italy aged 0-5"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|122590||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"1"|"males"|"TOTAL"|"total"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"GEN1_50"|"arrived in Italy aged 6-12"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|129027||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"1"|"males"|"TOTAL"|"total"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"GEN1_25"|"arrived in Italy aged 13-17"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|154830||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"1"|"males"|"TOTAL"|"total"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"GEN1"|"arrived in Italy aged over 18"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|1172757||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"1"|"males"|"TOTAL"|"total"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|1884413||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"1"|"males"|"TOTAL"|"total"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"FR_1FHH_WH_ORS"|"one-family households without other resident persons"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|1175818||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"1"|"males"|"TOTAL"|"total"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"FR_1FHH_W_ORS"|"one-family households with other resident persons"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|190854||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"1"|"males"|"TOTAL"|"total"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"FR_GE2_FHH"|"two-or-more-family households"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|136332||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"2"|"females"|"TOTAL"|"total"|"AL"|"Albania"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|194859||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"2"|"females"|"TOTAL"|"total"|"CN"|"China"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|89475||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"2"|"females"|"TOTAL"|"total"|"EU27"|"European Union (27 countries)"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|680974||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"2"|"females"|"TOTAL"|"total"|"EXT_EU27"|"Extra EU-27"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|1471328||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"2"|"females"|"TOTAL"|"total"|"IN"|"India"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|47176||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"2"|"females"|"TOTAL"|"total"|"MA"|"Morocco"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|191663||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"2"|"females"|"TOTAL"|"total"|"MD"|"Moldova"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|79888||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"2"|"females"|"TOTAL"|"total"|"PH"|"Philippines"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|65710||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"2"|"females"|"TOTAL"|"total"|"PL"|"Poland"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|68516||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"2"|"females"|"TOTAL"|"total"|"RO"|"Romania"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|471773||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"2"|"females"|"TOTAL"|"total"|"TN"|"Tunisia"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|34097||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"2"|"females"|"TOTAL"|"total"|"UA"|"Ukraine"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|147378||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"2"|"females"|"TOTAL"|"total"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"NFHH"|"non-family households"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|355629||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"2"|"females"|"TOTAL"|"total"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"GEN2"|"born in Italy"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|277659||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"2"|"females"|"TOTAL"|"total"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"GEN1_75"|"arrived in Italy aged 0-5"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|112758||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"2"|"females"|"TOTAL"|"total"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"GEN1_50"|"arrived in Italy aged 6-12"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|114510||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"2"|"females"|"TOTAL"|"total"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"GEN1_25"|"arrived in Italy aged 13-17"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|113926||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"2"|"females"|"TOTAL"|"total"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"GEN1"|"arrived in Italy aged over 18"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|1533450||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"2"|"females"|"TOTAL"|"total"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|2152302||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"2"|"females"|"TOTAL"|"total"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"FR_1FHH_WH_ORS"|"one-family households without other resident persons"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|1416485||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"2"|"females"|"TOTAL"|"total"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"FR_1FHH_W_ORS"|"one-family households with other resident persons"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|227703||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"2"|"females"|"TOTAL"|"total"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"FR_GE2_FHH"|"two-or-more-family households"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|152486||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y18-24"|"18-24 years"|"AL"|"Albania"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|53637||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y18-24"|"18-24 years"|"EU27"|"European Union (27 countries)"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|111700||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y18-24"|"18-24 years"|"EXT_EU27"|"Extra EU-27"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|276589||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y18-24"|"18-24 years"|"MA"|"Morocco"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|31901||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y18-24"|"18-24 years"|"RO"|"Romania"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|97665||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y18-24"|"18-24 years"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|388289||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y25-34"|"25-34 years"|"AL"|"Albania"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|105766||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y25-34"|"25-34 years"|"EU27"|"European Union (27 countries)"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|309675||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y25-34"|"25-34 years"|"EXT_EU27"|"Extra EU-27"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|627034||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y25-34"|"25-34 years"|"MA"|"Morocco"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|82969||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y25-34"|"25-34 years"|"RO"|"Romania"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|238556||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y25-34"|"25-34 years"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|936709||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y35-44"|"35-44 years"|"AL"|"Albania"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|72671||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y35-44"|"35-44 years"|"EU27"|"European Union (27 countries)"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|307065||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y35-44"|"35-44 years"|"EXT_EU27"|"Extra EU-27"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|607441||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y35-44"|"35-44 years"|"MA"|"Morocco"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|86433||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y35-44"|"35-44 years"|"RO"|"Romania"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|220831||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y35-44"|"35-44 years"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|914506||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y45-54"|"45-54 years"|"AL"|"Albania"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|45547||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y45-54"|"45-54 years"|"EU27"|"European Union (27 countries)"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|156524||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y45-54"|"45-54 years"|"EXT_EU27"|"Extra EU-27"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|387919||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y45-54"|"45-54 years"|"MA"|"Morocco"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|48456||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y45-54"|"45-54 years"|"RO"|"Romania"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|98730||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"Y45-54"|"45-54 years"|"WRL_X_ITA"|"Foreign countries"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|544443||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"TOTAL"|"total"|"AL"|"Albania"|"COUP_FOR"|"couple families with foreign citizens"|"NFHH"|"non-family households"|"ALL"|"all items"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|32427||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"TOTAL"|"total"|"AL"|"Albania"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"BORN_IT"|"living in Italy from birth"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|80136||
"IT"|"Italy"|"NFOR"|"foreign citizens"|"9"|"total"|"TOTAL"|"total"|"AL"|"Albania"|"COUP_FOR"|"couple families with foreign citizens"|"FR_HH"|"private households with at least one foreign member"|"GEN2"|"born in Italy"|"99"|"total"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"ALL"|"all items"|"2012"|"2012"|80438||
