"ITTER107","Territory","TIPO_DATO_FOL","Data type","ETA1","Age class","TITOLO_STUDIO","Highest level of education attained","CITTADINANZA","Citizenship","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2023-Q1","Q1-2023",12.373662,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2023-Q2","Q2-2023",10.493048,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2023-Q3","Q3-2023",9.747417,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2023-Q4","Q4-2023",10.771572,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2024-Q1","Q1-2024",11.496428,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2024-Q2","Q2-2024",10.495565,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2024-Q3","Q3-2024",8.84129,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2019","2019",11.133999,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2019-Q1","Q1-2019",11.311314,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2019-Q2","Q2-2019",12.493932,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2019-Q4","Q4-2019",11.049885,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2019-Q3","Q3-2019",9.631995,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2020","2020",10.727341,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2020-Q2","Q2-2020",10.290224,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2020-Q1","Q1-2020",10.062218,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2020-Q3","Q3-2020",9.448034,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2020-Q4","Q4-2020",13.03999,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2021","2021",13.583061,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2022","2022",10.168968,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2023","2023",8.923308,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2021-Q1","Q1-2021",16.383901,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2021-Q2","Q2-2021",12.398592,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2021-Q3","Q3-2021",12.312493,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2021-Q4","Q4-2021",13.390761,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2022-Q1","Q1-2022",10.947318,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2022-Q2","Q2-2022",8.957196,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2022-Q3","Q3-2022",9.380125,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2022-Q4","Q4-2022",11.483523,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2023-Q1","Q1-2023",11.169364,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2023-Q2","Q2-2023",9.071009,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2023-Q3","Q3-2023",7.700454,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2023-Q4","Q4-2023",8.082519,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2024-Q1","Q1-2024",8.719488,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2024-Q2","Q2-2024",8.268251,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2024-Q3","Q3-2024",7.74591,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2019","2019",13.783589,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2019-Q1","Q1-2019",14.975145,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2019-Q2","Q2-2019",14.179004,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2019-Q4","Q4-2019",13.790311,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2019-Q3","Q3-2019",12.199612,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2020","2020",13.315631,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2020-Q2","Q2-2020",10.169764,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2020-Q1","Q1-2020",13.527615,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2020-Q3","Q3-2020",14.592686,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2020-Q4","Q4-2020",14.666459,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2021","2021",14.372673,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2022","2022",11.99941,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2023","2023",11.34572,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2021-Q1","Q1-2021",16.715486,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2021-Q2","Q2-2021",15.142817,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2021-Q3","Q3-2021",11.63649,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2021-Q4","Q4-2021",14.125246,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2022-Q1","Q1-2022",13.979999,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2022-Q2","Q2-2022",11.861351,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2022-Q3","Q3-2022",10.501861,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2022-Q4","Q4-2022",11.64134,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2023-Q1","Q1-2023",12.911225,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2023-Q2","Q2-2023",11.423866,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2023-Q3","Q3-2023",10.220198,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2023-Q4","Q4-2023",10.889307,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2024-Q1","Q1-2024",11.577371,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2024-Q2","Q2-2024",10.099879,,
"IT","Italy","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2024-Q3","Q3-2024",9.291762,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2019","2019",11.268824,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2019-Q1","Q1-2019",12.614118,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2019-Q2","Q2-2019",11.587646,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2019-Q4","Q4-2019",11.34164,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2019-Q3","Q3-2019",9.557366,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2020","2020",12.14687,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2020-Q2","Q2-2020",11.858673,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2020-Q1","Q1-2020",10.974473,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2020-Q3","Q3-2020",12.168748,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2020-Q4","Q4-2020",13.591035,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2021","2021",12.581139,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2022","2022",9.46838,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2023","2023",8.847495,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2021-Q1","Q1-2021",16.241481,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2021-Q2","Q2-2021",13.087954,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2021-Q3","Q3-2021",9.885501,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2021-Q4","Q4-2021",11.101352,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2022-Q1","Q1-2022",11.011211,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2022-Q2","Q2-2022",10.407512,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2022-Q3","Q3-2022",8.28635,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2022-Q4","Q4-2022",8.163375,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2023-Q1","Q1-2023",9.611953,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2023-Q2","Q2-2023",9.308234,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2023-Q3","Q3-2023",8.25331,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2023-Q4","Q4-2023",8.263183,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2024-Q1","Q1-2024",8.596081,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2024-Q2","Q2-2024",8.649277,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2024-Q3","Q3-2024",8.594248,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2019","2019",10.257266,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2019-Q1","Q1-2019",10.492892,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2019-Q2","Q2-2019",10.265249,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2019-Q4","Q4-2019",9.3447,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2019-Q3","Q3-2019",10.930078,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2020","2020",10.631743,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2020-Q2","Q2-2020",11.913458,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2020-Q1","Q1-2020",9.340454,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2020-Q3","Q3-2020",9.520247,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2020-Q4","Q4-2020",11.83287,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2021","2021",10.999769,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2022","2022",8.328732,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2023","2023",7.409783,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2021-Q1","Q1-2021",13.592994,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2021-Q2","Q2-2021",8.933577,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2021-Q3","Q3-2021",9.720232,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2021-Q4","Q4-2021",11.900243,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2022-Q1","Q1-2022",8.000298,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2022-Q2","Q2-2022",7.259421,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2022-Q3","Q3-2022",8.90181,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2022-Q4","Q4-2022",9.045248,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2023-Q1","Q1-2023",9.78375,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2023-Q2","Q2-2023",7.256056,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2023-Q3","Q3-2023",5.752539,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2023-Q4","Q4-2023",7.272043,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2024-Q1","Q1-2024",8.757914,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2024-Q2","Q2-2024",5.542129,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","11","tertiary (university, doctoral and specialization courses)","FRG","foreign","2024-Q3","Q3-2024",7.043826,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2019","2019",12.272044,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2019-Q1","Q1-2019",13.464812,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2019-Q2","Q2-2019",11.976366,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2019-Q4","Q4-2019",12.448808,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2019-Q3","Q3-2019",11.19043,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2020","2020",12.026357,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2020-Q2","Q2-2020",9.309708,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2020-Q1","Q1-2020",11.674802,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2020-Q3","Q3-2020",13.394778,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2020-Q4","Q4-2020",13.503136,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2021","2021",12.304846,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2022","2022",9.816603,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2023","2023",9.14698,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2021-Q1","Q1-2021",14.953874,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2021-Q2","Q2-2021",12.816884,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2021-Q3","Q3-2021",10.161976,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2021-Q4","Q4-2021",11.480773,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2022-Q1","Q1-2022",11.598499,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2022-Q2","Q2-2022",9.691452,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2022-Q3","Q3-2022",8.865235,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2022-Q4","Q4-2022",9.14162,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2023-Q1","Q1-2023",10.076697,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2023-Q2","Q2-2023",10.239564,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2023-Q3","Q3-2023",7.916304,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2023-Q4","Q4-2023",8.413724,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2024-Q1","Q1-2024",9.673909,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2024-Q2","Q2-2024",8.543477,,
"ITCD","Nord","UNEM_R","unemployment rate","Y15-74","15-74 years","99","total","FRG","foreign","2024-Q3","Q3-2024",8.301441,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2019","2019",11.302682,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2019-Q1","Q1-2019",12.802328,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2019-Q2","Q2-2019",11.302017,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2019-Q4","Q4-2019",11.446381,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2019-Q3","Q3-2019",9.63617,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2020","2020",12.571202,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2020-Q2","Q2-2020",12.478773,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2020-Q1","Q1-2020",11.846779,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2020-Q3","Q3-2020",12.756154,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2020-Q4","Q4-2020",13.255434,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2021","2021",14.484402,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2022","2022",10.328663,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2023","2023",9.213006,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2021-Q1","Q1-2021",18.728367,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2021-Q2","Q2-2021",13.411735,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2021-Q3","Q3-2021",12.300606,,
"ITC","Nord-ovest","UNEM_R","unemployment rate","Y15-74","15-74 years","7","upper and post secondary","FRG","foreign","2021-Q4","Q4-2021",13.211774,,
