Year,Country_Code,Country_Name,Sex,Value,Permit_Type,Dataset_Code,Dataset
2023,AFG,Afghanistan,Male,10410,Short-term,D5,Type of residence permit and citizenship
2023,AFG,Afghanistan,Male,14117,Total,D5,Type of residence permit and citizenship
2023,AFG,Afghanistan,Female,426,Long-term,D5,Type of residence permit and citizenship
2023,AFG,Afghanistan,Female,2822,Short-term,D5,Type of residence permit and citizenship
2023,AFG,Afghanistan,Female,3248,Total,D5,Type of residence permit and citizenship
2023,AFG,Afghanistan,Total,4133,Long-term,D5,Type of residence permit and citizenship
2023,AFG,Afghanistan,Total,13232,Short-term,D5,Type of residence permit and citizenship
2023,AFG,Afghanistan,Total,17365,Total,D5,Type of residence permit and citizenship
2024,AFG,Afghanistan,Male,3970,Long-term,D5,Type of residence permit and citizenship
2024,AFG,Afghanistan,Male,10142,Short-term,D5,Type of residence permit and citizenship
2024,AFG,Afghanistan,Male,14112,Total,D5,Type of residence permit and citizenship
2024,AFG,Afghanistan,Female,440,Long-term,D5,Type of residence permit and citizenship
2024,AFG,Afghanistan,Female,3178,Short-term,D5,Type of residence permit and citizenship
2024,AFG,Afghanistan,Female,3618,Total,D5,Type of residence permit and citizenship
2024,AFG,Afghanistan,Total,4410,Long-term,D5,Type of residence permit and citizenship
2024,AFG,Afghanistan,Total,13320,Short-term,D5,Type of residence permit and citizenship
2024,AFG,Afghanistan,Total,17730,Total,D5,Type of residence permit and citizenship
2019,ALB,Albania,Male,11097,,D4,Immigrants - citizenship
2019,ALB,Albania,Female,11131,,D4,Immigrants - citizenship
2019,ALB,Albania,Total,22228,,D4,Immigrants - citizenship
2020,ALB,Albania,Male,8480,,D4,Immigrants - citizenship
2020,ALB,Albania,Female,8713,,D4,Immigrants - citizenship
2020,ALB,Albania,Total,17193,,D4,Immigrants - citizenship
2021,ALB,Albania,Male,10862,,D4,Immigrants - citizenship
2021,ALB,Albania,Female,11195,,D4,Immigrants - citizenship
2021,ALB,Albania,Total,22057,,D4,Immigrants - citizenship
2022,ALB,Albania,Male,15191,,D4,Immigrants - citizenship
2022,ALB,Albania,Female,13917,,D4,Immigrants - citizenship
2022,ALB,Albania,Total,29108,,D4,Immigrants - citizenship
2023,ALB,Albania,Male,15783,,D4,Immigrants - citizenship
2023,ALB,Albania,Female,14207,,D4,Immigrants - citizenship
2023,ALB,Albania,Total,29990,,D4,Immigrants - citizenship
2019,ALB,Albania,Male,158109,Long-term,D5,Type of residence permit and citizenship
2019,ALB,Albania,Male,60533,Short-term,D5,Type of residence permit and citizenship
2019,ALB,Albania,Male,218642,Total,D5,Type of residence permit and citizenship
2019,ALB,Albania,Female,144800,Long-term,D5,Type of residence permit and citizenship
2019,ALB,Albania,Female,64890,Short-term,D5,Type of residence permit and citizenship
2019,ALB,Albania,Female,209690,Total,D5,Type of residence permit and citizenship
2019,ALB,Albania,Total,302909,Long-term,D5,Type of residence permit and citizenship
2019,ALB,Albania,Total,125423,Short-term,D5,Type of residence permit and citizenship
2019,ALB,Albania,Total,428332,Total,D5,Type of residence permit and citizenship
2020,ALB,Albania,Male,149073,Long-term,D5,Type of residence permit and citizenship
2020,ALB,Albania,Male,62893,Short-term,D5,Type of residence permit and citizenship
2020,ALB,Albania,Male,211966,Total,D5,Type of residence permit and citizenship
2020,ALB,Albania,Female,137779,Long-term,D5,Type of residence permit and citizenship
2020,ALB,Albania,Female,66958,Short-term,D5,Type of residence permit and citizenship
2020,ALB,Albania,Female,204737,Total,D5,Type of residence permit and citizenship
2020,ALB,Albania,Total,286852,Long-term,D5,Type of residence permit and citizenship
2020,ALB,Albania,Total,129851,Short-term,D5,Type of residence permit and citizenship
2020,ALB,Albania,Total,416703,Total,D5,Type of residence permit and citizenship
2021,ALB,Albania,Male,133674,Long-term,D5,Type of residence permit and citizenship
2021,ALB,Albania,Male,59754,Short-term,D5,Type of residence permit and citizenship
2021,ALB,Albania,Male,193428,Total,D5,Type of residence permit and citizenship
2021,ALB,Albania,Female,122053,Long-term,D5,Type of residence permit and citizenship
2021,ALB,Albania,Female,65639,Short-term,D5,Type of residence permit and citizenship
2021,ALB,Albania,Female,187692,Total,D5,Type of residence permit and citizenship
2021,ALB,Albania,Total,255727,Long-term,D5,Type of residence permit and citizenship
2021,ALB,Albania,Total,125393,Short-term,D5,Type of residence permit and citizenship
2021,ALB,Albania,Total,381120,Total,D5,Type of residence permit and citizenship
2022,ALB,Albania,Male,137831,Long-term,D5,Type of residence permit and citizenship
2022,ALB,Albania,Male,63357,Short-term,D5,Type of residence permit and citizenship
2022,ALB,Albania,Male,201188,Total,D5,Type of residence permit and citizenship
2022,ALB,Albania,Female,132698,Long-term,D5,Type of residence permit and citizenship
2022,ALB,Albania,Female,63032,Short-term,D5,Type of residence permit and citizenship
2022,ALB,Albania,Female,195730,Total,D5,Type of residence permit and citizenship
2022,ALB,Albania,Total,270529,Long-term,D5,Type of residence permit and citizenship
2022,ALB,Albania,Total,126389,Short-term,D5,Type of residence permit and citizenship
2022,ALB,Albania,Total,396918,Total,D5,Type of residence permit and citizenship
2023,ALB,Albania,Male,125127,Long-term,D5,Type of residence permit and citizenship
2023,ALB,Albania,Male,72017,Short-term,D5,Type of residence permit and citizenship
2023,ALB,Albania,Male,197144,Total,D5,Type of residence permit and citizenship
2023,ALB,Albania,Female,122590,Long-term,D5,Type of residence permit and citizenship
2023,ALB,Albania,Female,69912,Short-term,D5,Type of residence permit and citizenship
2023,ALB,Albania,Female,192502,Total,D5,Type of residence permit and citizenship
2023,ALB,Albania,Total,247717,Long-term,D5,Type of residence permit and citizenship
2023,ALB,Albania,Total,141929,Short-term,D5,Type of residence permit and citizenship
2023,ALB,Albania,Total,389646,Total,D5,Type of residence permit and citizenship
2024,ALB,Albania,Male,112814,Long-term,D5,Type of residence permit and citizenship
2024,ALB,Albania,Male,68859,Short-term,D5,Type of residence permit and citizenship
2024,ALB,Albania,Male,181673,Total,D5,Type of residence permit and citizenship
2024,ALB,Albania,Female,111458,Long-term,D5,Type of residence permit and citizenship
2024,ALB,Albania,Female,66311,Short-term,D5,Type of residence permit and citizenship
2024,ALB,Albania,Female,177769,Total,D5,Type of residence permit and citizenship
2024,ALB,Albania,Total,224272,Long-term,D5,Type of residence permit and citizenship
2024,ALB,Albania,Total,135170,Short-term,D5,Type of residence permit and citizenship
2024,ALB,Albania,Total,359442,Total,D5,Type of residence permit and citizenship
2019,DZA,Algeria,Male,431,,D4,Immigrants - citizenship
2019,DZA,Algeria,Female,355,,D4,Immigrants - citizenship
2019,DZA,Algeria,Total,786,,D4,Immigrants - citizenship
2020,DZA,Algeria,Male,285,,D4,Immigrants - citizenship
2020,DZA,Algeria,Female,177,,D4,Immigrants - citizenship
2020,DZA,Algeria,Total,462,,D4,Immigrants - citizenship
2021,DZA,Algeria,Male,424,,D4,Immigrants - citizenship
2021,DZA,Algeria,Female,254,,D4,Immigrants - citizenship
2021,DZA,Algeria,Total,678,,D4,Immigrants - citizenship
2022,DZA,Algeria,Male,803,,D4,Immigrants - citizenship
2022,DZA,Algeria,Female,340,,D4,Immigrants - citizenship
2022,DZA,Algeria,Total,1143,,D4,Immigrants - citizenship
2023,DZA,Algeria,Male,1154,,D4,Immigrants - citizenship
2023,DZA,Algeria,Female,496,,D4,Immigrants - citizenship
2023,DZA,Algeria,Total,1650,,D4,Immigrants - citizenship
2019,DZA,Algeria,Male,10950,Long-term,D5,Type of residence permit and citizenship
2019,DZA,Algeria,Male,2677,Short-term,D5,Type of residence permit and citizenship
2019,DZA,Algeria,Male,13627,Total,D5,Type of residence permit and citizenship
2019,DZA,Algeria,Female,6248,Long-term,D5,Type of residence permit and citizenship
2019,DZA,Algeria,Female,2113,Short-term,D5,Type of residence permit and citizenship
2019,DZA,Algeria,Female,8361,Total,D5,Type of residence permit and citizenship
2019,DZA,Algeria,Total,17198,Long-term,D5,Type of residence permit and citizenship
2019,DZA,Algeria,Total,4790,Short-term,D5,Type of residence permit and citizenship
2019,DZA,Algeria,Total,21988,Total,D5,Type of residence permit and citizenship
2020,DZA,Algeria,Male,9714,Long-term,D5,Type of residence permit and citizenship
2020,DZA,Algeria,Male,2512,Short-term,D5,Type of residence permit and citizenship
2020,DZA,Algeria,Male,12226,Total,D5,Type of residence permit and citizenship
2020,DZA,Algeria,Female,5752,Long-term,D5,Type of residence permit and citizenship
2020,DZA,Algeria,Female,2154,Short-term,D5,Type of residence permit and citizenship
2020,DZA,Algeria,Female,7906,Total,D5,Type of residence permit and citizenship
2020,DZA,Algeria,Total,15466,Long-term,D5,Type of residence permit and citizenship
2020,DZA,Algeria,Total,4666,Short-term,D5,Type of residence permit and citizenship
2020,DZA,Algeria,Total,20132,Total,D5,Type of residence permit and citizenship
2021,DZA,Algeria,Male,9221,Long-term,D5,Type of residence permit and citizenship
2021,DZA,Algeria,Male,2127,Short-term,D5,Type of residence permit and citizenship
2021,DZA,Algeria,Male,11348,Total,D5,Type of residence permit and citizenship
2021,DZA,Algeria,Female,5245,Long-term,D5,Type of residence permit and citizenship
2021,DZA,Algeria,Female,2043,Short-term,D5,Type of residence permit and citizenship
2021,DZA,Algeria,Female,7288,Total,D5,Type of residence permit and citizenship
2021,DZA,Algeria,Total,14466,Long-term,D5,Type of residence permit and citizenship
2021,DZA,Algeria,Total,4170,Short-term,D5,Type of residence permit and citizenship
2021,DZA,Algeria,Total,18636,Total,D5,Type of residence permit and citizenship
2022,DZA,Algeria,Male,9723,Long-term,D5,Type of residence permit and citizenship
2022,DZA,Algeria,Male,2115,Short-term,D5,Type of residence permit and citizenship
2022,DZA,Algeria,Male,11838,Total,D5,Type of residence permit and citizenship
2022,DZA,Algeria,Female,5310,Long-term,D5,Type of residence permit and citizenship
2022,DZA,Algeria,Female,1604,Short-term,D5,Type of residence permit and citizenship
2022,DZA,Algeria,Female,6914,Total,D5,Type of residence permit and citizenship
2022,DZA,Algeria,Total,15033,Long-term,D5,Type of residence permit and citizenship
2022,DZA,Algeria,Total,3719,Short-term,D5,Type of residence permit and citizenship
2022,DZA,Algeria,Total,18752,Total,D5,Type of residence permit and citizenship
2023,DZA,Algeria,Male,8858,Long-term,D5,Type of residence permit and citizenship
2023,DZA,Algeria,Male,2599,Short-term,D5,Type of residence permit and citizenship
2023,DZA,Algeria,Male,11457,Total,D5,Type of residence permit and citizenship
2023,DZA,Algeria,Female,4689,Long-term,D5,Type of residence permit and citizenship
2023,DZA,Algeria,Female,1802,Short-term,D5,Type of residence permit and citizenship
2023,DZA,Algeria,Female,6491,Total,D5,Type of residence permit and citizenship
2023,DZA,Algeria,Total,13547,Long-term,D5,Type of residence permit and citizenship
2023,DZA,Algeria,Total,4401,Short-term,D5,Type of residence permit and citizenship
2023,DZA,Algeria,Total,17948,Total,D5,Type of residence permit and citizenship
2024,DZA,Algeria,Male,8750,Long-term,D5,Type of residence permit and citizenship
2024,DZA,Algeria,Male,2769,Short-term,D5,Type of residence permit and citizenship
2024,DZA,Algeria,Male,11519,Total,D5,Type of residence permit and citizenship
2024,DZA,Algeria,Female,4303,Long-term,D5,Type of residence permit and citizenship
2024,DZA,Algeria,Female,1795,Short-term,D5,Type of residence permit and citizenship
2024,DZA,Algeria,Female,6098,Total,D5,Type of residence permit and citizenship
2024,DZA,Algeria,Total,13053,Long-term,D5,Type of residence permit and citizenship
2024,DZA,Algeria,Total,4564,Short-term,D5,Type of residence permit and citizenship
2024,DZA,Algeria,Total,17617,Total,D5,Type of residence permit and citizenship
2019,AND,Andorra,Male,3,,D4,Immigrants - citizenship
2019,AND,Andorra,Female,3,,D4,Immigrants - citizenship
2019,AND,Andorra,Total,6,,D4,Immigrants - citizenship
2021,AND,Andorra,Male,1,,D4,Immigrants - citizenship
2021,AND,Andorra,Female,1,,D4,Immigrants - citizenship
2021,AND,Andorra,Total,2,,D4,Immigrants - citizenship
2022,AND,Andorra,Male,1,,D4,Immigrants - citizenship
2022,AND,Andorra,Total,1,,D4,Immigrants - citizenship
2023,AND,Andorra,Female,1,,D4,Immigrants - citizenship
2023,AND,Andorra,Total,1,,D4,Immigrants - citizenship
2019,AGO,Angola,Male,40,,D4,Immigrants - citizenship
2019,AGO,Angola,Female,38,,D4,Immigrants - citizenship
2019,AGO,Angola,Total,78,,D4,Immigrants - citizenship
2020,AGO,Angola,Male,22,,D4,Immigrants - citizenship
2020,AGO,Angola,Female,21,,D4,Immigrants - citizenship
2020,AGO,Angola,Total,43,,D4,Immigrants - citizenship
2021,AGO,Angola,Male,29,,D4,Immigrants - citizenship
2021,AGO,Angola,Female,27,,D4,Immigrants - citizenship
2021,AGO,Angola,Total,56,,D4,Immigrants - citizenship
2022,AGO,Angola,Male,38,,D4,Immigrants - citizenship
2022,AGO,Angola,Female,42,,D4,Immigrants - citizenship
2022,AGO,Angola,Total,80,,D4,Immigrants - citizenship
2023,AGO,Angola,Male,38,,D4,Immigrants - citizenship
2023,AGO,Angola,Female,49,,D4,Immigrants - citizenship
2023,AGO,Angola,Total,87,,D4,Immigrants - citizenship
2019,ATG,Antigua and Barbuda,Male,2,,D4,Immigrants - citizenship
2019,ATG,Antigua and Barbuda,Female,2,,D4,Immigrants - citizenship
2019,ATG,Antigua and Barbuda,Total,4,,D4,Immigrants - citizenship
2021,ATG,Antigua and Barbuda,Male,1,,D4,Immigrants - citizenship
2021,ATG,Antigua and Barbuda,Female,1,,D4,Immigrants - citizenship
2021,ATG,Antigua and Barbuda,Total,2,,D4,Immigrants - citizenship
2022,ATG,Antigua and Barbuda,Male,3,,D4,Immigrants - citizenship
2022,ATG,Antigua and Barbuda,Female,1,,D4,Immigrants - citizenship
2022,ATG,Antigua and Barbuda,Total,4,,D4,Immigrants - citizenship
2023,ATG,Antigua and Barbuda,Male,2,,D4,Immigrants - citizenship
2023,ATG,Antigua and Barbuda,Female,1,,D4,Immigrants - citizenship
2023,ATG,Antigua and Barbuda,Total,3,,D4,Immigrants - citizenship
2019,ARG,Argentina,Male,2131,,D4,Immigrants - citizenship
2019,ARG,Argentina,Female,2151,,D4,Immigrants - citizenship
2019,ARG,Argentina,Total,4282,,D4,Immigrants - citizenship
2020,ARG,Argentina,Male,1061,,D4,Immigrants - citizenship
2020,ARG,Argentina,Female,1170,,D4,Immigrants - citizenship
2020,ARG,Argentina,Total,2231,,D4,Immigrants - citizenship
2021,ARG,Argentina,Male,3116,,D4,Immigrants - citizenship
2021,ARG,Argentina,Female,3006,,D4,Immigrants - citizenship
2021,ARG,Argentina,Total,6122,,D4,Immigrants - citizenship
2022,ARG,Argentina,Male,7347,,D4,Immigrants - citizenship
2022,ARG,Argentina,Female,7207,,D4,Immigrants - citizenship
2022,ARG,Argentina,Total,14554,,D4,Immigrants - citizenship
2023,ARG,Argentina,Male,8725,,D4,Immigrants - citizenship
2023,ARG,Argentina,Female,8340,,D4,Immigrants - citizenship
2023,ARG,Argentina,Total,17065,,D4,Immigrants - citizenship
2019,ARG,Argentina,Male,2073,Long-term,D5,Type of residence permit and citizenship
2019,ARG,Argentina,Male,1319,Short-term,D5,Type of residence permit and citizenship
2019,ARG,Argentina,Male,3392,Total,D5,Type of residence permit and citizenship
2019,ARG,Argentina,Female,3002,Long-term,D5,Type of residence permit and citizenship
2019,ARG,Argentina,Female,1689,Short-term,D5,Type of residence permit and citizenship
2019,ARG,Argentina,Female,4691,Total,D5,Type of residence permit and citizenship
2019,ARG,Argentina,Total,5075,Long-term,D5,Type of residence permit and citizenship
2019,ARG,Argentina,Total,3008,Short-term,D5,Type of residence permit and citizenship
2019,ARG,Argentina,Total,8083,Total,D5,Type of residence permit and citizenship
2020,ARG,Argentina,Male,1988,Long-term,D5,Type of residence permit and citizenship
2020,ARG,Argentina,Male,1498,Short-term,D5,Type of residence permit and citizenship
2020,ARG,Argentina,Male,3486,Total,D5,Type of residence permit and citizenship
2020,ARG,Argentina,Female,2889,Long-term,D5,Type of residence permit and citizenship
2020,ARG,Argentina,Female,1940,Short-term,D5,Type of residence permit and citizenship
2020,ARG,Argentina,Female,4829,Total,D5,Type of residence permit and citizenship
2020,ARG,Argentina,Total,4877,Long-term,D5,Type of residence permit and citizenship
2020,ARG,Argentina,Total,3438,Short-term,D5,Type of residence permit and citizenship
2020,ARG,Argentina,Total,8315,Total,D5,Type of residence permit and citizenship
2021,ARG,Argentina,Male,1871,Long-term,D5,Type of residence permit and citizenship
2021,ARG,Argentina,Male,1348,Short-term,D5,Type of residence permit and citizenship
2021,ARG,Argentina,Male,3219,Total,D5,Type of residence permit and citizenship
2021,ARG,Argentina,Female,2694,Long-term,D5,Type of residence permit and citizenship
2021,ARG,Argentina,Female,1970,Short-term,D5,Type of residence permit and citizenship
2021,ARG,Argentina,Female,4664,Total,D5,Type of residence permit and citizenship
2021,ARG,Argentina,Total,4565,Long-term,D5,Type of residence permit and citizenship
2021,ARG,Argentina,Total,3318,Short-term,D5,Type of residence permit and citizenship
2021,ARG,Argentina,Total,7883,Total,D5,Type of residence permit and citizenship
2022,ARG,Argentina,Male,2283,Long-term,D5,Type of residence permit and citizenship
2022,ARG,Argentina,Male,1319,Short-term,D5,Type of residence permit and citizenship
2022,ARG,Argentina,Male,3602,Total,D5,Type of residence permit and citizenship
2022,ARG,Argentina,Female,3585,Long-term,D5,Type of residence permit and citizenship
2022,ARG,Argentina,Female,1478,Short-term,D5,Type of residence permit and citizenship
2022,ARG,Argentina,Female,5063,Total,D5,Type of residence permit and citizenship
2022,ARG,Argentina,Total,5868,Long-term,D5,Type of residence permit and citizenship
2022,ARG,Argentina,Total,2797,Short-term,D5,Type of residence permit and citizenship
2022,ARG,Argentina,Total,8665,Total,D5,Type of residence permit and citizenship
2023,ARG,Argentina,Male,2345,Long-term,D5,Type of residence permit and citizenship
2023,ARG,Argentina,Male,2097,Short-term,D5,Type of residence permit and citizenship
2023,ARG,Argentina,Male,4442,Total,D5,Type of residence permit and citizenship
2023,ARG,Argentina,Female,3642,Long-term,D5,Type of residence permit and citizenship
2023,ARG,Argentina,Female,2532,Short-term,D5,Type of residence permit and citizenship
2023,ARG,Argentina,Female,6174,Total,D5,Type of residence permit and citizenship
2023,ARG,Argentina,Total,5987,Long-term,D5,Type of residence permit and citizenship
2023,ARG,Argentina,Total,4629,Short-term,D5,Type of residence permit and citizenship
2023,ARG,Argentina,Total,10616,Total,D5,Type of residence permit and citizenship
2024,ARG,Argentina,Male,2542,Long-term,D5,Type of residence permit and citizenship
2024,ARG,Argentina,Male,1969,Short-term,D5,Type of residence permit and citizenship
2024,ARG,Argentina,Male,4511,Total,D5,Type of residence permit and citizenship
2024,ARG,Argentina,Female,3834,Long-term,D5,Type of residence permit and citizenship
2024,ARG,Argentina,Female,2391,Short-term,D5,Type of residence permit and citizenship
2024,ARG,Argentina,Female,6225,Total,D5,Type of residence permit and citizenship
2024,ARG,Argentina,Total,6376,Long-term,D5,Type of residence permit and citizenship
2024,ARG,Argentina,Total,4360,Short-term,D5,Type of residence permit and citizenship
2024,ARG,Argentina,Total,10736,Total,D5,Type of residence permit and citizenship
2019,ARM,Armenia,Male,30,,D4,Immigrants - citizenship
2019,ARM,Armenia,Female,70,,D4,Immigrants - citizenship
2019,ARM,Armenia,Total,100,,D4,Immigrants - citizenship
2020,ARM,Armenia,Male,53,,D4,Immigrants - citizenship
2020,ARM,Armenia,Female,67,,D4,Immigrants - citizenship
2020,ARM,Armenia,Total,120,,D4,Immigrants - citizenship
2021,ARM,Armenia,Male,112,,D4,Immigrants - citizenship
2021,ARM,Armenia,Female,64,,D4,Immigrants - citizenship
2021,ARM,Armenia,Total,176,,D4,Immigrants - citizenship
2022,ARM,Armenia,Male,102,,D4,Immigrants - citizenship
2022,ARM,Armenia,Female,90,,D4,Immigrants - citizenship
2022,ARM,Armenia,Total,192,,D4,Immigrants - citizenship
2023,ARM,Armenia,Male,83,,D4,Immigrants - citizenship
2023,ARM,Armenia,Female,75,,D4,Immigrants - citizenship
2023,ARM,Armenia,Total,158,,D4,Immigrants - citizenship
2019,AUS,Australia,Male,108,,D4,Immigrants - citizenship
2019,AUS,Australia,Female,118,,D4,Immigrants - citizenship
2019,AUS,Australia,Total,226,,D4,Immigrants - citizenship
2020,AUS,Australia,Male,71,,D4,Immigrants - citizenship
2020,AUS,Australia,Female,70,,D4,Immigrants - citizenship
2020,AUS,Australia,Total,141,,D4,Immigrants - citizenship
2021,AUS,Australia,Male,75,,D4,Immigrants - citizenship
2021,AUS,Australia,Female,103,,D4,Immigrants - citizenship
2021,AUS,Australia,Total,178,,D4,Immigrants - citizenship
2022,AUS,Australia,Male,143,,D4,Immigrants - citizenship
2022,AUS,Australia,Female,134,,D4,Immigrants - citizenship
2022,AUS,Australia,Total,277,,D4,Immigrants - citizenship
2023,AUS,Australia,Male,221,,D4,Immigrants - citizenship
2023,AUS,Australia,Female,251,,D4,Immigrants - citizenship
2023,AUS,Australia,Total,472,,D4,Immigrants - citizenship
2019,AUT,Austria,Male,102,,D4,Immigrants - citizenship
2019,AUT,Austria,Female,178,,D4,Immigrants - citizenship
2019,AUT,Austria,Total,280,,D4,Immigrants - citizenship
2020,AUT,Austria,Male,128,,D4,Immigrants - citizenship
2020,AUT,Austria,Female,173,,D4,Immigrants - citizenship
2020,AUT,Austria,Total,301,,D4,Immigrants - citizenship
2021,AUT,Austria,Male,106,,D4,Immigrants - citizenship
2021,AUT,Austria,Female,181,,D4,Immigrants - citizenship
2021,AUT,Austria,Total,287,,D4,Immigrants - citizenship
2022,AUT,Austria,Male,176,,D4,Immigrants - citizenship
2022,AUT,Austria,Female,195,,D4,Immigrants - citizenship
2022,AUT,Austria,Total,371,,D4,Immigrants - citizenship
2023,AUT,Austria,Male,184,,D4,Immigrants - citizenship
2023,AUT,Austria,Female,259,,D4,Immigrants - citizenship
2023,AUT,Austria,Total,443,,D4,Immigrants - citizenship
2019,AZE,Azerbaijan,Male,85,,D4,Immigrants - citizenship
2019,AZE,Azerbaijan,Female,46,,D4,Immigrants - citizenship
2019,AZE,Azerbaijan,Total,131,,D4,Immigrants - citizenship
2020,AZE,Azerbaijan,Male,98,,D4,Immigrants - citizenship
2020,AZE,Azerbaijan,Female,86,,D4,Immigrants - citizenship
2020,AZE,Azerbaijan,Total,184,,D4,Immigrants - citizenship
2021,AZE,Azerbaijan,Male,123,,D4,Immigrants - citizenship
2021,AZE,Azerbaijan,Female,83,,D4,Immigrants - citizenship
2021,AZE,Azerbaijan,Total,206,,D4,Immigrants - citizenship
2022,AZE,Azerbaijan,Male,72,,D4,Immigrants - citizenship
2022,AZE,Azerbaijan,Female,73,,D4,Immigrants - citizenship
2022,AZE,Azerbaijan,Total,145,,D4,Immigrants - citizenship
2023,AZE,Azerbaijan,Male,71,,D4,Immigrants - citizenship
2023,AZE,Azerbaijan,Female,72,,D4,Immigrants - citizenship
2023,AZE,Azerbaijan,Total,143,,D4,Immigrants - citizenship
2019,BHS,Bahamas,Male,3,,D4,Immigrants - citizenship
2019,BHS,Bahamas,Female,2,,D4,Immigrants - citizenship
2019,BHS,Bahamas,Total,5,,D4,Immigrants - citizenship
2020,BHS,Bahamas,Male,1,,D4,Immigrants - citizenship
2020,BHS,Bahamas,Female,1,,D4,Immigrants - citizenship
2020,BHS,Bahamas,Total,2,,D4,Immigrants - citizenship
2021,BHS,Bahamas,Female,3,,D4,Immigrants - citizenship
2021,BHS,Bahamas,Total,3,,D4,Immigrants - citizenship
2022,BHS,Bahamas,Male,1,,D4,Immigrants - citizenship
2022,BHS,Bahamas,Total,1,,D4,Immigrants - citizenship
2023,BHS,Bahamas,Male,1,,D4,Immigrants - citizenship
2023,BHS,Bahamas,Total,1,,D4,Immigrants - citizenship
2019,BHR,Bahrain,Female,1,,D4,Immigrants - citizenship
